country,sex,measure,age,HH,HU,HD,UH,UU,UD,version
Italy,female,GALI,81,0.6704,0.3038,0.02582,0.09592,0.8483,0.05582,1
Italy,female,GALI,82,0.6521,0.3172,0.03065,0.09088,0.8476,0.06152,1
Italy,female,GALI,83,0.6331,0.3306,0.0363,0.08602,0.8462,0.06774,1
Italy,female,GALI,84,0.6133,0.3438,0.04291,0.08136,0.8441,0.07453,1
Italy,female,GALI,85,0.5927,0.3567,0.05059,0.07687,0.8412,0.08192,1
Italy,female,GALI,86,0.5713,0.3692,0.05951,0.07257,0.8375,0.08996,1
Italy,female,GALI,87,0.5492,0.381,0.0698,0.06843,0.8329,0.09868,1
Italy,female,GALI,88,0.5263,0.392,0.08162,0.06445,0.8274,0.1081,1
Italy,female,GALI,89,0.5028,0.402,0.09514,0.06064,0.821,0.1183,1
Italy,female,GALI,90,0.4786,0.4109,0.1105,0.05698,0.8137,0.1294,1
Italy,female,GALI,91,0.4539,0.4183,0.1279,0.05347,0.8053,0.1412,1
Italy,female,GALI,92,0.4286,0.4241,0.1473,0.05011,0.796,0.1539,1
Italy,female,GALI,93,0.403,0.428,0.169,0.04689,0.7855,0.1676,1
Italy,female,GALI,94,0.3771,0.43,0.193,0.04381,0.7741,0.1821,1
Italy,female,GALI,95,0.351,0.4298,0.2192,0.04086,0.7615,0.1976,1
Italy,female,GALI,96,0.3251,0.4273,0.2477,0.03805,0.7479,0.2141,1
Italy,female,GALI,97,0.2993,0.4224,0.2783,0.03537,0.7332,0.2315,1
Italy,female,GALI,98,0.274,0.4151,0.3108,0.03281,0.7174,0.2498,1
Italy,female,GALI,99,0.2494,0.4055,0.3451,0.03038,0.7006,0.2691,1
Italy,female,GALI,100,0.2255,0.3937,0.3808,0.02807,0.6827,0.2892,1
Italy,female,GALI,101,0.2026,0.3798,0.4175,0.02588,0.6639,0.3102,1
Italy,female,GALI,102,0.1809,0.3641,0.4549,0.02381,0.6442,0.332,1
Italy,female,GALI,103,0.1606,0.3469,0.4925,0.02186,0.6236,0.3545,1
Italy,female,GALI,104,0.1416,0.3284,0.53,0.02002,0.6023,0.3776,1
Italy,female,GALI,105,0.1241,0.309,0.5668,0.01829,0.5804,0.4013,1
