sex,race,age,HH,HU,HD,UH,UU,UD
m,black,89,0.6878959499999999,0.19600848000000004,0.11609557000000002,0.12141523000000003,0.65815739,0.22042738000000006
m,black,90,0.67476169,0.19880738999999994,0.12643092,0.11951133119511333,0.6490179864901798,0.23147068231470683
m,black,91,0.6610598566105986,0.2013969520139695,0.13754319137543194,0.11755381000000001,0.63955132,0.24289487
m,black,92,0.646783386467834,0.2037515720375157,0.14946504149465037,0.11554353000000002,0.6297604399999999,0.25469603
m,black,93,0.6319290700000001,0.20584506,0.16222587,0.11348163886518363,0.6196499038035009,0.2668684573313154
m,black,94,0.61649814,0.20765094,0.17585091999999997,0.11136956,0.6092259,0.27940454000000003
m,black,95,0.60049691,0.20914278999999997,0.1903603,0.10920902,0.59849626,0.29229472
m,black,96,0.5839373400000001,0.21029472000000002,0.20576794000000004,0.10700205,0.5874705100000001,0.30552744000000004
m,black,97,0.5668376056683762,0.21108180211081803,0.22208059222080592,0.10475096000000002,0.5761599199999999,0.31908911999999995
m,black,98,0.54922258,0.21148059,0.23929683,0.10245837897541621,0.5645774643542253,0.33296415667035845
m,black,99,0.5311241800000001,0.21146973,0.25740609,0.10012720100127202,0.5527378555273785,0.34713494347134943
m,black,100,0.5175986823608824,0.21309600482131602,0.26930531281780173,0.09776408331811183,0.5406765236256335,0.3615593930562548
m,black,101,0.4994962657348188,0.21263972155916416,0.287864012706017,0.09536604936333921,0.5283759306015964,0.3762580200350644
m,black,102,0.4811065897923317,0.21177927557989829,0.30711413462777004,0.09293982474886066,0.5158722141643652,0.39118796108677417
m,black,103,0.4624838695762174,0.21050806861901583,0.32700806180476677,0.09048935760701231,0.5031863437586014,0.40632429863438635
m,black,104,0.44368701655609943,0.2088232644359028,0.3474897190079978,0.08801880439039662,0.49034060601905166,0.4216405895905517
m,black,105,0.4247789621656629,0.20672602954944075,0.36849500828489634,0.08553250243264758,0.477358462930105,0.4371090346372476
m,black,106,0.40582584016712064,0.2042216892251417,0.3899524706077377,0.08303493953102706,0.46426439171918044,0.45270066874979253
m,black,107,0.38689604694137164,0.20131978774047204,0.41178416531815637,0.08053072097276112,0.4510837086242671,0.4683855704029718
m,black,108,0.36805920582232265,0.198034045670399,0.4339067485072784,0.07802453449843133,0.4378423791095369,0.48413308639203173
m,black,109,0.34938506753642523,0.1943822113467674,0.45623272111680746,0.07552111375514352,0.4245668174758896,0.49991206876896693
m,black,110,0.3309423831522908,0.1903858084698591,0.47867180837785,0.07302520083704121,0.4112836791100572,0.5156911200529016
m,not black,50,0.95885723,0.03967942000000002,0.0014633500000000004,0.17437513999999996,0.80434671,0.021278149999999992
