sex,measure,age,HH,HU,HD,UH,UU,UD
m,IADL,53,0.988,0.007785,0.004237,0.2091,0.7494,0.04146
m,IADL,54,0.9869,0.008483,0.004628,0.2075,0.7489,0.04359
m,IADL,55,0.9857,0.009243,0.005055,0.2059,0.7483,0.04583
m,IADL,56,0.9844,0.01007,0.00552,0.2042,0.7476,0.04818
m,IADL,57,0.983,0.01097,0.006027,0.2026,0.7467,0.05065
m,IADL,58,0.9815,0.01195,0.00658,0.2009,0.7458,0.05323
m,IADL,59,0.9798,0.01301,0.007183,0.1993,0.7448,0.05593
m,IADL,60,0.978,0.01417,0.00784,0.1976,0.7437,0.05877
m,IADL,61,0.976,0.01542,0.008556,0.1959,0.7424,0.06173
m,IADL,62,0.9739,0.01679,0.009335,0.1941,0.741,0.06484
m,IADL,63,0.9715,0.01827,0.01018,0.1924,0.7395,0.06809
m,IADL,64,0.969,0.01988,0.01111,0.1906,0.7379,0.07149
m,IADL,65,0.9663,0.02162,0.01211,0.1889,0.7361,0.07505
m,IADL,66,0.9633,0.02351,0.0132,0.1871,0.7342,0.07877
m,IADL,67,0.9601,0.02556,0.01439,0.1852,0.7321,0.08265
m,IADL,68,0.9565,0.02778,0.01567,0.1834,0.7299,0.08671
m,IADL,69,0.9527,0.03019,0.01707,0.1815,0.7275,0.090939999999999993
m,IADL,70,0.9486,0.03279,0.01859,0.1796,0.725,0.09537
m,IADL,71,0.9442,0.0356,0.02023,0.1777,0.7223,0.09998
m,IADL,72,0.9394,0.03863,0.02201,0.1758,0.7194,0.1048
m,IADL,73,0.9342,0.04191,0.02393,0.1738,0.7164,0.1098
m,IADL,74,0.9285,0.04544,0.02601,0.1718,0.7132,0.115
m,IADL,75,0.9225,0.04925,0.02826,0.1698,0.7097,0.1204
m,IADL,76,0.916,0.05335,0.03068,0.1678,0.7061,0.1261
m,IADL,77,0.909,0.05775,0.03329,0.1657,0.7023,0.132
m,IADL,78,0.9014,0.06247,0.0361,0.1636,0.6983,0.1381
m,IADL,79,0.8933,0.06754,0.03912,0.1615,0.6941,0.1444
m,IADL,80,0.8847,0.07296,0.04237,0.1593,0.6897,0.151
m,IADL,81,0.8754,0.07875,0.04584,0.1572,0.685,0.1578
m,IADL,82,0.8655,0.08494,0.04956,0.155,0.6802,0.1649
m,IADL,83,0.8549,0.09153,0.05353,0.1527,0.6751,0.1722
m,IADL,84,0.8437,0.09853,0.05777,0.1505,0.6697,0.1798
m,IADL,85,0.8318,0.106,0.06227,0.1482,0.6642,0.1876
m,IADL,86,0.8191,0.1138,0.06706,0.1459,0.6584,0.1957
m,IADL,87,0.8057,0.1221,0.07213,0.1435,0.6524,0.2041
m,IADL,88,0.7916,0.1309,0.07749,0.1412,0.6462,0.2127
m,IADL,89,0.7767,0.1401,0.08314,0.1388,0.6397,0.2215
m,IADL,90,0.7611,0.1498,0.08909,0.1364,0.633,0.2307
m,IADL,91,0.7448,0.1599,0.09532,0.1339,0.626,0.2401
m,IADL,92,0.7277,0.1704,0.1018,0.1315,0.6188,0.2497
m,IADL,93,0.71,0.1814,0.1087,0.129,0.6114,0.2596
m,IADL,94,0.6916,0.1927,0.1157,0.1265,0.6037,0.2698
m,IADL,95,0.6725,0.2044,0.1231,0.124,0.5959,0.2802
m,IADL,96,0.6529,0.2165,0.1306,0.1214,0.5878,0.2908
m,IADL,97,0.6327,0.2289,0.1384,0.1189,0.5795,0.3017
m,IADL,98,0.6121,0.2415,0.1464,0.1163,0.5709,0.3128
m,IADL,99,0.591,0.2544,0.1546,0.1137,0.5622,0.3241
m,IADL,100,0.5696,0.2675,0.1629,0.1111,0.5532,0.3356
m,IADL,101,0.5479,0.2807,0.1714,0.1086,0.5441,0.3473
m,IADL,102,0.5261,0.294,0.18,0.106,0.5348,0.3592
m,IADL,103,0.5041,0.3073,0.1886,0.1033,0.5253,0.3713
m,IADL,104,0.4822,0.3206,0.1972,0.1007,0.5157,0.3836
m,IADL,105,0.4603,0.3339,0.2059,0.09815,0.5059,0.3959
m,IADL,106,0.4385,0.347,0.2145,0.09555,0.496,0.4085
m,IADL,107,0.417,0.36,0.223,0.09296,0.4859,0.4211
m,IADL,108,0.3958,0.3727,0.2315,0.09038,0.4758,0.4338
m,IADL,109,0.375,0.3852,0.2398,0.08782,0.4655,0.4467
m,IADL,110,0.3547,0.3974,0.248,0.08527,0.4552,0.4596
